ROXA_ECOLI^ROXA_ECOLI^Q:109-481,H:3-370^48.53%ID^E:4e-122^.^.
EGTB_MYCTH^EGTB_MYCTH^Q:11-257,H:5-241^31.5%ID^E:6e-16^.^.
PGMMM_THEKO^PGMMM_THEKO^Q:4-457,H:5-439^30.85%ID^E:1e-51^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:12-154,H:281-421^33.57%ID^E:1e-19^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:218-605,H:42-424^30.38%ID^E:1e-37^.^.
CDIA_ENTCC^CDIA_ENTCC^Q:1477-1965,H:1832-2367^29.56%ID^E:2e-35^.^.`CDIA_ENTCC^CDIA_ENTCC^Q:150-1072,H:254-1211^25.54%ID^E:1e-09^.^.`CDIA_ENTCC^CDIA_ENTCC^Q:417-1224,H:805-1667^23.93%ID^E:3e-08^.^.
ELTP_MYCS2^ELTP_MYCS2^Q:52-473,H:58-475^37.74%ID^E:1e-92^.^.
YQGF_NOVAD^YQGF_NOVAD^Q:1040-1195,H:1-155^63.46%ID^E:4e-59^.^.
CDIA_YERPE^CDIA_YERPE^Q:1-144,H:119-262^43.75%ID^E:2e-30^.^.
NFNB_MYCS2^NFNB_MYCS2^Q:3-123,H:109-228^35.54%ID^E:7e-15^.^.
AACL_AGRFC^AACL_AGRFC^Q:1162-1439,H:41-318^60.79%ID^E:4e-115^.^.
Y945_AGRFC^Y945_AGRFC^Q:442-867,H:15-473^48.58%ID^E:2e-135^.^.
PCCR_RHOS4^PCCR_RHOS4^Q:7-112,H:3-108^76.42%ID^E:4e-49^.^.
CDIB_DICD3^CDIB_DICD3^Q:279-796,H:28-556^29.49%ID^E:2e-50^.^.
DCTQ_VIBCH^DCTQ_VIBCH^Q:3-157,H:33-209^33.33%ID^E:4e-23^.^.
OCD_AGRFC^OCD_AGRFC^Q:83-187,H:18-123^68.87%ID^E:8e-45^.^.
SIRTM_STAAM^SIRTM_STAAM^Q:1-203,H:40-241^26.44%ID^E:2e-17^.^.
RISB_AGRFC^RISB_AGRFC^Q:3-148,H:2-147^63.7%ID^E:6e-61^.^.
RISA_BRUA2^RISA_BRUA2^Q:361-558,H:4-202^59.3%ID^E:2e-75^.^.
NRDJ_AGRFC^NRDJ_AGRFC^Q:1-297,H:367-665^69.23%ID^E:3e-144^.^.
DCTM_VIBCH^DCTM_VIBCH^Q:1-194,H:11-202^32.65%ID^E:6e-23^.^.
TATC_MAGMM^TATC_MAGMM^Q:139-386,H:4-242^51.21%ID^E:2e-75^.^.
SYR_AGRFC^SYR_AGRFC^Q:1-589,H:1-585^66.55%ID^E:0^.^.
GGP1_ARATH^GGP1_ARATH^Q:21-119,H:21-120^32.67%ID^E:8e-11^.^.
DDDP_ROSNI^DDDP_ROSNI^Q:42-454,H:28-445^50.48%ID^E:1e-137^.^.
DAPB1_PSEMX^DAPB1_PSEMX^Q:6-694,H:27-721^43.1%ID^E:3e-177^.^.
BETS_RHIML^BETS_RHIML^Q:3-532,H:59-559^42.8%ID^E:1e-129^.^.
RIBN_VIBCH^RIBN_VIBCH^Q:48-297,H:46-295^25.59%ID^E:9e-16^.^.
CDIA_ENTCC^CDIA_ENTCC^Q:1619-2111,H:42-566^35.25%ID^E:2e-57^.^.`CDIA_ENTCC^CDIA_ENTCC^Q:2649-2982,H:1979-2367^29%ID^E:2e-10^.^.`CDIA_ENTCC^CDIA_ENTCC^Q:2000-2157,H:1357-1496^31.01%ID^E:4e-07^.^.
THPR_METJA^THPR_METJA^Q:216-386,H:4-173^22.78%ID^E:5e-09^.^.
TERL_BPT5^TERL_BPT5^Q:1244-1630,H:49-429^25.25%ID^E:1e-16^.^.
CZCS_CUPMC^CZCS_CUPMC^Q:117-327,H:161-364^24.88%ID^E:4e-12^.^.
BPD_BP186^BPD_BP186^Q:170-494,H:15-374^23.39%ID^E:5e-19^.^.
BPJ_BPP2^BPJ_BPP2^Q:245-497,H:11-280^32.49%ID^E:2e-14^.^.
CAPSD_BPBMU^CAPSD_BPBMU^Q:9-314,H:10-302^27.44%ID^E:2e-21^.^.
FMNRE_PSEAE^FMNRE_PSEAE^Q:8-151,H:6-150^41.78%ID^E:4e-24^.^.
PUR2_AGRFC^PUR2_AGRFC^Q:3-179,H:1-177^61.58%ID^E:2e-65^.^.
DPRE1_MYCS2^DPRE1_MYCS2^Q:84-156,H:52-124^47.3%ID^E:1e-08^.^.
DCTM_RHOCA^DCTM_RHOCA^Q:5-144,H:73-209^37.59%ID^E:2e-22^.^.
CDIA4_ECO5C^CDIA4_ECO5C^Q:742-822,H:47-126^34.57%ID^E:1e-05^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:164-582,H:18-425^36.85%ID^E:9e-63^.^.
G3P_RHOSH^G3P_RHOSH^Q:4-172,H:1-169^55.62%ID^E:7e-60^.^.
MFNC_METJA^MFNC_METJA^Q:1-368,H:15-369^33.69%ID^E:7e-68^.^.
THIG_AGRFC^THIG_AGRFC^Q:368-609,H:1-241^70.66%ID^E:5e-118^.^.
DAP4_PSEMX^DAP4_PSEMX^Q:1-721,H:5-728^42.01%ID^E:8e-180^.^.
DDDD_MARMS^DDDD_MARMS^Q:1-468,H:328-797^55.93%ID^E:0^.^.
LFHA_ECO44^LFHA_ECO44^Q:24-394,H:17-389^58.56%ID^E:4e-149^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:120-293,H:16-188^37.93%ID^E:2e-24^.^.
TCP17_TRYCR^TCP17_TRYCR^Q:2-101,H:49-149^52.94%ID^E:1e-24^.^.
RIBN_VIBCH^RIBN_VIBCH^Q:9-298,H:4-295^49.49%ID^E:1e-84^.^.
CCH1R_DROME^CCH1R_DROME^Q:21-139,H:68-186^57.14%ID^E:9e-39^.^.
DAPB3_PSEMX^DAPB3_PSEMX^Q:28-344,H:247-596^26.26%ID^E:2e-23^.^.
VGRG1_VIBC3^VGRG1_VIBC3^Q:1-229,H:114-342^55.9%ID^E:2e-79^.^.
RIBN_VIBCH^RIBN_VIBCH^Q:1-125,H:151-289^28.78%ID^E:9e-08^.^.
G3P_RHOSH^G3P_RHOSH^Q:3-157,H:65-217^76.77%ID^E:2e-78^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:51-191,H:18-156^40.14%ID^E:3e-23^.^.
CGAP3_VIBCH^CGAP3_VIBCH^Q:5-82,H:370-447^39.74%ID^E:2e-12^.^.
ARLY2_AGRFC^ARLY2_AGRFC^Q:4-202,H:141-339^70.85%ID^E:1e-100^.^.
DCTM_VIBCH^DCTM_VIBCH^Q:15-178,H:1-173^39.11%ID^E:6e-30^.^.
XYPA_MYCS2^XYPA_MYCS2^Q:23-312,H:29-307^31.96%ID^E:2e-32^.^.
IOLE_BACMF^IOLE_BACMF^Q:130-307,H:97-270^27.62%ID^E:1e-10^.^.
XERD_AGRFC^XERD_AGRFC^Q:1-62,H:256-317^69.35%ID^E:2e-23^.^.
Y1380_AGRFC^Y1380_AGRFC^Q:11-364,H:18-375^44.41%ID^E:1e-100^.^.
GLNE_AGRFC^GLNE_AGRFC^Q:1-153,H:263-414^56.21%ID^E:1e-49^.^.
SIAM_VIBCH^SIAM_VIBCH^Q:1-158,H:22-178^48.43%ID^E:3e-42^.^.
ECFG_RHOPT^ECFG_RHOPT^Q:10-173,H:6-167^31.95%ID^E:2e-18^.^.
ACNA_BRADU^ACNA_BRADU^Q:608-1485,H:10-904^66.7%ID^E:0^.^.
